commodity_id,market_unit
gold,troy_oz
silver,troy_oz
platinum,troy_oz
palladium,troy_oz
crude_oil_wti,barrel
crude_oil_brent,barrel
natural_gas,mmbtu
copper,lb
aluminium,lb
zinc,lb
nickel,lb
lead,lb
tin,lb
steel_hrc,short_ton
iron_ore,dry_metric_ton
lithium_carbonate,kg
cobalt,lb
wheat,bushel_60lb
corn,bushel_56lb
rice,cwt
soybean,bushel_60lb
soybean_meal,short_ton
soybean_oil,lb
canola_oil,lb
palm_oil,metric_ton
sugar,lb
cotton,lb
coffee,lb
cocoa,metric_ton
orange_juice,lb
lumber,mbf
lean_hogs,cwt
live_cattle,cwt
