commodity_id,commodity_name,category,segment,quote_unit,exchange,yahoo_symbol,spot_symbol
gold,Gold,precious,precious_metal,troy_oz,COMEX,GC=F,XAU
silver,Silver,precious,precious_metal,troy_oz,COMEX,SI=F,XAG
platinum,Platinum,precious,precious_metal,troy_oz,NYMEX,PL=F,XPT
palladium,Palladium,precious,precious_metal,troy_oz,NYMEX,PA=F,XPD
crude_oil_wti,Crude Oil (WTI),energy,crude_oil,barrel,NYMEX,CL=F,
crude_oil_brent,Brent Crude,energy,crude_oil,barrel,ICE,BZ=F,
natural_gas,Natural Gas,energy,natural_gas,mmbtu,NYMEX,NG=F,
copper,Copper,industrial,base_metal,lb,COMEX,HG=F,
aluminium,Aluminium,industrial,base_metal,metric_ton,COMEX,ALI=F,
zinc,Zinc,industrial,base_metal,metric_ton,LME,,
nickel,Nickel,industrial,base_metal,metric_ton,LME,,
lead,Lead,industrial,base_metal,metric_ton,LME,,
tin,Tin,industrial,base_metal,metric_ton,LME,,
steel_hrc,Steel (HRC),industrial,ferrous,short_ton,COMEX,HRC=F,
iron_ore,Iron Ore (62% Fe),industrial,ferrous,dry_metric_ton,SGX,,
lithium_carbonate,Lithium (Carbonate),industrial,battery_metal,metric_ton,,,
cobalt,Cobalt,industrial,battery_metal,metric_ton,LME,,
wheat,Wheat,agri,grain,bushel_60lb,CBOT,ZW=F,
corn,Corn (Maize),agri,grain,bushel_56lb,CBOT,ZC=F,
rice,Rice (Rough),agri,grain,cwt,CBOT,ZR=F,
soybean,Soybean,agri,oilseed,bushel_60lb,CBOT,ZS=F,
soybean_meal,Soybean Meal,agri,oilseed,short_ton,CBOT,ZM=F,
soybean_oil,Soybean Oil,agri,vegetable_oil,lb,CBOT,ZL=F,
canola_oil,Canola Oil,agri,vegetable_oil,metric_ton,,,
palm_oil,Palm Oil (CPO),agri,vegetable_oil,metric_ton,BMD,,
sugar,Sugar,agri,soft,lb,ICE,SB=F,
cotton,Cotton,agri,soft,lb,ICE,CT=F,
coffee,Coffee,agri,soft,lb,ICE,KC=F,
cocoa,Cocoa,agri,soft,metric_ton,ICE,CC=F,
orange_juice,Orange Juice,agri,soft,lb,ICE,OJ=F,
lumber,Lumber,agri,forest_product,mbf,CME,LBR=F,
lean_hogs,Lean Hogs,agri,livestock,lb,CME,HE=F,
live_cattle,Live Cattle,agri,livestock,lb,CME,LE=F,
