"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02945V03560","ICD 10 Diagnostic Group","UNIT","VALUE"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","01","Organic category","Number","317"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","02","Organic mental disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","03","Schizophrenia","Number","1701"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","05","Other psychoses","Number","49"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","06","Depressive disorders","Number","752"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","07","Mania","Number","424"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","08","Neuroses","Number","146"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","09","Personality disorders","Number","125"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","10","Personality and behavioural disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","11","Alcoholic disorders","Number","241"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","12","Drug dependence","Number","56"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","13","Other drug disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","14","Mental handicap","Number","392"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","16","Intellectual disability","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","19","Other and unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","20","Unspecified","Number","118"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","-","Both sexes","21","All disorders","Number","4321"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","1","Male","01","Organic category","Number","156"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","1","Male","02","Organic mental disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","1","Male","03","Schizophrenia","Number","1054"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","1","Male","04","Schizophrenia, schizotypal and delusional disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","1","Male","05","Other psychoses","Number","18"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","1","Male","06","Depressive disorders","Number","314"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","1","Male","07","Mania","Number","202"
